State,Year,Description,Value
Alabama,1999,NumOfVeterans,407987
Alabama,2000,NumOfVeterans,447397
Alabama,2001,NumOfVeterans,461814.64
Alabama,2002,NumOfVeterans,435831.3542
Alabama,2003,NumOfVeterans,431049
Alabama,2004,NumOfVeterans,426321.6206
Alabama,2005,NumOfVeterans,421992.1063
Alabama,2006,NumOfVeterans,417496.8997
Alabama,2007,NumOfVeterans,416947.0444
Alabama,2008,NumOfVeterans,413578.8804
Alabama,2009,NumOfVeterans,409996.9434
Alabama,2010,NumOfVeterans,405624.2765
Alabama,2011,NumOfVeterans,400783.9377
Alabama,2012,NumOfVeterans,418034.8783
Alabama,2013,NumOfVeterans,414963.1887
Alabama,1999,TotalExpense,1248206.577
Alabama,2000,TotalExpense,1250752.735
Alabama,2001,TotalExpense,1320106.561
Alabama,2002,TotalExpense,1416891.865
Alabama,2003,TotalExpense,1519721.538
Alabama,2004,TotalExpense,1611482.169
Alabama,2005,TotalExpense,1639949.224
Alabama,2006,TotalExpense,1622274.976
Alabama,2007,TotalExpense,1724187.583
Alabama,2008,TotalExpense,1855280.769
Alabama,2009,TotalExpense,2140964.634
Alabama,2010,TotalExpense,2319586.235
Alabama,2011,TotalExpense,2523221.101
Alabama,2012,TotalExpense,2450942.089
Alabama,2013,TotalExpense,2824088.496
Alabama,1999,Compensation,693904.5539
Alabama,2000,Compensation,677940.6374
Alabama,2001,Compensation,705064.6768
Alabama,2002,Compensation,773743.547
Alabama,2003,Compensation,845445.2638
Alabama,2004,Compensation,882330.2271
Alabama,2005,Compensation,932261.6841
Alabama,2006,Compensation,940565.9336
Alabama,2007,Compensation,982958.2992
Alabama,2008,Compensation,1071679.796
Alabama,2009,Compensation,1243661.981
Alabama,2010,Compensation,1262185.37
Alabama,2011,Compensation,1447366.461
Alabama,2012,Compensation,1381955.12
Alabama,2013,Compensation,1580860.535
Alabama,1999,Education,48785.83956
Alabama,2000,Education,50233.33772
Alabama,2001,Education,41980.20758
Alabama,2002,Education,48971.32345
Alabama,2003,Education,52625.54177
Alabama,2004,Education,72679.69072
Alabama,2005,Education,68665.35333
Alabama,2006,Education,66254.12792
Alabama,2007,Education,66046.95716
Alabama,2008,Education,63046.74662
Alabama,2009,Education,80124.05401
Alabama,2010,Education,139172.8839
