SUMLEV	STATE	P040001
40	1	447397
40	2	71552
40	4	562916
40	5	281714
40	6	2569340
40	8	446385
40	9	310069
40	10	84289
40	11	44484
40	12	1875597
40	13	768675
40	15	120587
40	16	136584
40	17	1003572
40	18	590476
40	19	292020
40	20	267452
40	21	380618
40	22	392486
40	23	154590
40	24	524230
40	25	558933
40	26	913573
40	27	464968
40	28	249431
40	29	592271
40	30	108476
40	31	173189
40	32	238128
40	33	139038
40	34	672217
40	35	190718
40	36	1361164
40	37	792646
40	38	61365
40	39	1144007
40	40	376062
40	41	388990
40	42	1280788
40	44	102494
40	45	420971
40	46	79370
40	47	560141
40	48	1754809
40	49	161351
40	50	62809
40	51	786359
40	53	670628
40	54	201701
40	55	514213
40	56	57860
40	72	146001
